XML-ID,Wikidata ID,Given Name,Surname,Name,Year of Birth,Year of Death,Lifespan,Brief Description
peACEL,,ANNE CHARLOTTE (Anna Charlotta Gustava) [EDGREN],LEFFLER,ANNE CHARLOTTE (Anna Charlotta Gustava) [EDGREN] LEFFLER,1849,1892,1849-1892,svensk forfatterinne.
pePMOL,Q1396659,[PETER MARTIN] ORLA,LEHMANN,[PETER MARTIN] ORLA LEHMANN,1810,1870,1810-1870,dansk politiker.
peJuLe,Q197935,[FRANÇOIS ÉLIE] JULES,LEMAÎTRE,[FRANÇOIS ÉLIE] JULES LEMAÎTRE,1853,1914,1853-1914,fransk forfatter og kritiker.
peLST,Q1361139,LOUIS SÉBASTIEN,LE NAIN DE TILLEMONT,LOUIS SÉBASTIEN LE NAIN DE TILLEMONT,1637,1698,1637-1698,fransk kirkehistoriker.
peRLe,Q318738,REINHOLD,LEPSIUS,REINHOLD LEPSIUS,1857,1922,1857-1922,tysk portrettmaler.
peCALe,,CHRISTIAN ALBRECHT [GREV],LERCHE,CHRISTIAN ALBRECHT [GREV] LERCHE,1830,1885,1830-1885,dansk greve.
peMJL,,MIKHAIL [JURJEVITSJ],LERMONTOV,MIKHAIL [JURJEVITSJ] LERMONTOV,1814,1841,1814-1841,russisk forfatter.
peTLe,Q362340,THEODOR,LESCHETIZKY,THEODOR LESCHETIZKY,1831,1915,1831-1915,polsk klaverspiller og lærer.
peMLe,,MAX,LESSER,MAX LESSER,,,,tysk forfatter.
peGEL,Q34628,GOTTHOLD EPHRAIM,LESSING,GOTTHOLD EPHRAIM LESSING,1729,1781,1729-1781,tysk litteraturkritiker og forfatter.
peOL,Q668328,OSCAR [IVAR],LEVERTIN,OSCAR [IVAR] LEVERTIN,1862,1906,1862-1906,"svensk litteraturhistoriker, kritiker og forfatter."
peLevi,Q1111810,,LEVI,LEVI,,,,"far til Julie Levi, svigerfar til Julius Elias. "
peHLe,Q61175,HERMANN,LEVI,HERMANN LEVI,1839,1900,1839-1900,tysk dirigent.
peGHL,Q1275943,GEORGE HENRY,LEWES,GEORGE HENRY LEWES,1817,1878,1817-1878,engelsk forfatter.
peJLe,Q17352907,JOSEF,LEWINSKY,JOSEF LEWINSKY,1835,1907,1835-1907,østerriksk skuespiller.
peCLL,,CARL [LUDVIG],LIE,CARL [LUDVIG] LIE,1830,1912,1830-1912,norsk dommer.
peElLie,Q96242473,ELISABETH,LIE,ELISABETH LIE,1876,1958,1876-1958,norsk offisershustru.
peELie,Q1782989,ERIK [RØRING MØINICHEN],LIE,ERIK [RØRING MØINICHEN] LIE,1868,1943,1868-1943,norsk forfatter.
peJEL,,JOHANNE [ELEONORE] («Lubben»),LIE,JOHANNE [ELEONORE] («Lubben») LIE,1870,1944,1870-1944,norsk skuespillerinne.
peJLi,Q469681,JONAS [LAURITZ IDEMIL],LIE,JONAS [LAURITZ IDEMIL] LIE,1833,1908,1833-1908,norsk advokat og forfatter.
peMBL,,MARIE [BIRGITTE],LIE,MARIE [BIRGITTE] LIE,1839,1918,1839-1918,norsk dommerhustru.
peMaLie,,MARY [HELENE],LIE,MARY [HELENE] LIE,1875,1913,1875-1913,norsk pianistinne.
peMiLi,Q6834673,MICHAEL STRØM,LIE,MICHAEL STRØM LIE,1862,1934,1862-1934,norsk sendemann.
peMLi,Q4992653,MONS,LIE,MONS LIE,1864,1931,1864-1931,norsk forfatter.
peMSL,Q30769,[MARIUS] SOPHUS,LIE,[MARIUS] SOPHUS LIE,1842,1899,1842-1899,norsk matematiker.
peTHL,Q17119922,THOMASINE [HENRIETTE],LIE,THOMASINE [HENRIETTE] LIE,1833,1907,1833-1907,norsk forfatterhustru.
peFLL,Q4994170,FREDERIK LUDVIG,LIEBENBERG,FREDERIK LUDVIG LIEBENBERG,1810,1894,1810-1894,dansk litterat.
peJDCL,Q2578997,JENS [DANIEL CAROLUS],LIEBLEIN,JENS [DANIEL CAROLUS] LIEBLEIN,1827,1911,1827-1911,norsk egyptolog.
peHeL,,HEDEVALL [ORDING],LIEUNGH [lyng],HEDEVALL [ORDING] LIEUNGH [lyng],1828,1893,1828-1893,norsk apotekmedhjelper og telegrafrevisor.
pePL,,POUL [DOROTHEUS WINTHER],LIEUNGH [lyng],POUL [DOROTHEUS WINTHER] LIEUNGH [lyng],1827,,1827-,norsk handelsborger.
peELil,,ELSA,LILLIEHÖÖK,ELSA LILLIEHÖÖK,1877,1951,1877-1951,svensk tennisspiller.
peEBL,Q19976164,ERIC BERTILSON,LILLIEHÖÖK,ERIC BERTILSON LILLIEHÖÖK,1870,1952,1870-1952,svensk offiser og møbelarkitekt.
peCAL,,CARL ABRAHAM,LIMNELL,CARL ABRAHAM LIMNELL,1825,1882,1825-1882,svensk embetsmann.
peFL,Q4962236,[CATHARINA] FREDRIKA,LIMNELL,[CATHARINA] FREDRIKA LIMNELL,1816,1892,1816-1892,"svensk embetsmannshustru, salongvertinne og kvinnesaksforkjemper."
peLin,Q1873288,LINA,,LINA,,,,ikke identifisert.
pePLi,Q86886,PAUL,LINDAU,PAUL LINDAU,1839,1919,1839-1919,"tysk teaterleder, forfatter og journalist."
peAL,Q5953385,[JOHAN] AUGUST,LINDBERG,[JOHAN] AUGUST LINDBERG,1846,1916,1846-1916,svensk skuespiller og teaterleder.
peAWLin,,AUGUSTA [WILHELMINA],LINDBERG,AUGUSTA [WILHELMINA] LINDBERG,1866,1943,1866-1943,svensk skuespillerinne.
peJaL,,JACOB [ALBERT],LINDBOE,JACOB [ALBERT] LINDBOE,1843,1902,1843-1902,norsk jurist og politiker.
peALi,Q12300016,ANDREAS [CONRAD PUTSCHER],LINDE,ANDREAS [CONRAD PUTSCHER] LINDE,1814,1888,1814-1888,dansk embetsmann.
peTLin,,TH.,LINDENLAUB,TH. LINDENLAUB,,,,fransk lektor (
peGL,,[KARL] GUSTAF [OSKAR EUGEN],LINDQVIST,[KARL] GUSTAF [OSKAR EUGEN] LINDQVIST,1872,1946,1872-1946,svensk forfatter.
peTL,,[FRANS] THEODOR,LINDSTRAND,[FRANS] THEODOR LINDSTRAND,1823,1899,1823-1899,"svensk diplomat (Anker 2, 80)."
peELin,,EMMA,LINDSTRÖM,EMMA LINDSTRÖM,,,,svensk skuespillerinne.
peHLi,Q74416,HERMANN,LINGG,HERMANN LINGG,1820,1905,1820-1905,tysk dikter.
peALin,Q29024284,ANTON,LINSMAYER,ANTON LINSMAYER,1827,1886,1827-1886,tysk skolemann.
peNiLi,,NINA,LIPINER,NINA LIPINER,1855,,1855-,østerriksk forfatterhustru.
peSiLi,Q326460,SIEGFRIED,LIPINER,SIEGFRIED LIPINER,1856,1911,1856-1911,polsk-østerriksk forfatter og bibliotekar.
peJvdL,Q6125383,JAKOB VON DER,LIPPE,JAKOB VON DER LIPPE,1828,1900,1828-1900,norsk bankkasserer.
peALCL,,ANDREAS LAURITZ CARL,LISTOV,ANDREAS LAURITZ CARL LISTOV,1817,1889,1817-1889,dansk prest og kirkehistoriker.
peEL,Q52154887,EDMUND [ADOLF JOHANNES],LOBEDANZ,EDMUND [ADOLF JOHANNES] LOBEDANZ,1820,1882,1820-1882,"tysk journalist, forfatter og oversetter."
peEFL,Q5962069,[ERNST] FERDINAND,LOCHMANN,[ERNST] FERDINAND LOCHMANN,1820,1891,1820-1891,norsk lege.
