Letter_ID,Sender_ID,Sender_Name,Recipient_ID,Recipient_Name,Date,Dispatch_Location,Dispatch_Location_Abbr,Mentioned_Person_ID,Mentioned_Person,Mentioned_Org_ID,Mentioned_Org,Mentioned_Places_Abbr,Mentioned_Places,Recipient_Adress,Mentioned_Works_IDs
Budat187412LDa,peHI,HENRIK IBSEN,peLDa,LUDVIG LUDVIGSEN DAAE,1874-12,DRESDEN,Dre,,,,,N,Norge,,woF2
Budat1874-75NN_Hvis_De,peHI,HENRIK IBSEN,peNN,UKJENT MOTTAGER,1874-11 - 1875-01,[DRESDEN],Dre,,,,,,,,
B18750104LJ,peHI,HENRIK IBSEN,peLJ,LUDVIG JOSEPHSON,1875-01-04,DRESDEN,Dre,"'peFH, peOJB, peLG, peJRJ, peARei, peJFB, peJSel, peSG, pePNi, peHeKl, peHBru, peHFHa'",,orgChrTh,,"'Kri, Kbh'","'Kristiania, København'",,woF2
B18750104LG,peHI,HENRIK IBSEN,peLG,LAURA GUNDERSEN,1875-01-04,DRESDEN,Dre,,,,,,,,
Budat18750104SG,peHI,HENRIK IBSEN,peSG,SIGVARD GUNDERSEN,1875-01-04,DRESDEN,Dre,peLG,,,,Dre,Dresden,,"'woKE, woKK'"
B18750127FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1875-01-27,DRESDEN,Dre,"'pePFSt, peAuLa'",,,,,,,woC2
B18750128FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1875-01-28,DRESDEN,Dre,pePFSt,,,,N,Norge,,woC2
B18750130GB,peHI,HENRIK IBSEN,peGB,GEORG BRANDES,1875-01-30,DRESDEN,Dre,"'peEBr, peJES, peOSk, peFB, peFH, peHLMa, peDFS'",,,,"'D, Bad, Hes, Dk, Kri, SE, Kbh, D, N, Eu, Mun'","'Tyskland, Baden, Hessen-Kassel, Danmark, Kristiania, Sverig, København, Tyskland, Norge, Europa, München'",,"'woLB, woEt_Ri, woKG'"
Budat1874-75MG,peHI,HENRIK IBSEN,peMG,MARCUS GRØNVOLD,1874-11 - 1875-01,[DRESDEN],Dre,,,,,,,,
B18750204LDa,peHI,HENRIK IBSEN,peLDa,LUDVIG LUDVIGSEN DAAE,1875-02-04,DRESDEN,Dre,"'peSvSi, peJHT, peSiI'",,,,"'Dre, Mun, It, D'","'Dresden, München, Italien, Tyskland'",,woC1
B18750207LJ,peHI,HENRIK IBSEN,peLJ,LUDVIG JOSEPHSON,1875-02-07,DRESDEN,Dre,"'peTK, peSuI'",,"'orgChrTh, orgGyl'",,"'Kbh, Mun, Ty'","'København, München, Tyrol'",,"'woF2, woC2'"
B18750214JHT,peHI,HENRIK IBSEN,peJHT,JOHAN HERMAN THORESEN,1875-02-14,DRESDEN,Dre,"'peMTh, peWaL, peTK, peMT, peSuI, peHJJ, peFH, peNL, peSiI, peDFa'",,"'orgGyl, orgIN'",,"'N, Rom, Mun, Ty, Gud, Tel'","'Norge, Rom, München, Tyrol, Gudbrandsdalen, Thelemarken'",,"'woKK, woKE, woHH, woF1, woF2, woPG, woC2'"
B18750220FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1875-02-20,DRESDEN,Dre,"'peGBe, peJHT, peNL'",,orgKT,,"'Kri, Dre, Mun, D'","'Kristiania, Dresden, München, Tyskland'",,"'woHH, woSS, woC2, woPG'"
Budat18750224CRi,peHI,HENRIK IBSEN,peCRi,CHRISTIAN VILHELM RIMESTAD,1875-02-24,DRESDEN,Dre,,,orgNat,,,,,
B18750224DT,peHI,HENRIK IBSEN,orgDT,DAGS-TELEGRAPHEN,1875-02-24,DRESDEN,Dre,,,,,,,,woHH
B18750226DCD,peHI,HENRIK IBSEN,peDCD,DANIEL CORNELIUS DANIELSSEN,1875-02-26,DRESDEN,Dre,peIvAa,,orgKdep,,,,,
B18750227TRH,peHI,HENRIK IBSEN,peTRH,THOMAS HESSELBERG,1875-02-27,DRESDEN,Dre,peKvP,,,,"'Mun, Mun'","'München, München'",,
B18750303JV,peHI,HENRIK IBSEN,peJV,JOHAN VIBE,1875-03-03,DRESDEN,Dre,,,,,"'Kri, Kbh'","'Kristiania, Kjøbenhavn'",,
B18750303EGr,peHI,HENRIK IBSEN,peEGr,EDVARD GRIEG,1875-03-03,DRESDEN,Dre,peNG,,orgChrTh,,"'Mun, Lei, Dre'","'München, Leipzig, Dresden'",,woPG
B18750310FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1875-03-10,DRESDEN,Dre,"'peEaE, peAuLa'",,,,,,,woC2
B18750310JHT,peHI,HENRIK IBSEN,peJHT,JOHAN HERMAN THORESEN,1875-03-10,DRESDEN,Dre,,,,,,,,woC2
B18750310MB,peHI,HENRIK IBSEN,peMB,MICHAEL BIRKELAND,1875-03-10,DRESDEN,Dre,peMBi,,orgKdep,,,,,woC2
B18750310LDa,peHI,HENRIK IBSEN,peLDa,LUDVIG LUDVIGSEN DAAE,1875-03-10,DRESDEN,Dre,,,,,,,,woC2
B18750310ESta,peHI,HENRIK IBSEN,peESta,EMIL STANG,1875-03-10,DRESDEN,Dre,,,,,,,,woC2
B18750310HLaa,peHI,HENRIK IBSEN,peHLaa,HERMAN LAADING,1875-03-10,DRESDEN,Dre,peSuI,,orgNTB,,Berg,Bergen,,woC2
B18750310CHo,peHI,HENRIK IBSEN,peCHo,CHRISTIAN HOLST,1875-03-10,DRESDEN,Dre,peKongO2,,,,,,,woC2
B18750310EGo,peHI,HENRIK IBSEN,peEGo,EDMUND GOSSE,1875-03-10,DRESDEN,Dre,,,"'orgKT, orgGyl'",,"'Mun, D, Ty'","'München, Nordtyskland, Tyrol'",,"'woC2, woHH, woF2'"
B18750310EaE,peHI,HENRIK IBSEN,peEaE,ERIK AF EDHOLM,1875-03-10,DRESDEN,Dre,,,orgKDTS,,,,,"'woC2, woF2'"
