Number,Letter_ID,Sender_ID,Sender_Name,Recipient_ID,Recipient_Name,Date,Dispatch_Location,Dispatch_Location_Abbr,Mentioned_Person_ID,Mentioned_Person,Mentioned_Org_ID,Mentioned_Org,Mentioned_Places_Abbr,Mentioned_Places,Recipient_Adress,Mentioned_Works_IDs
2148,B18990702Kar,peHI,HENRIK IBSEN,peKar,MARY KARADJA,1899-07-02,KRISTIANIA,Kri,,,,,,,"'Prinsesse Karadja,, 5, Norra Blasieholmshamnen, .'",
2149,B18990707RWo,peHI,HENRIK IBSEN,peRWo,ROMAN WOERNER,1899-07-07,KRISTIANIA,Kri,peAmm,,,,,,"'Herrn Dr. Roman Woerner,, Türkenstrasse 91. , München.'",
2150,B18990712RFi,peHI,HENRIK IBSEN,peRFi,ROSA FITINGHOFF,1899-07-12,KRISTIANIA,Kri,,,,,,,,
2151,B18990715SP,peHI,HENRIK IBSEN,peSP,SOPHIE PETERSEN,1899-07-15,KRISTIANIA,Kri,,,,,,,,
2152,B18990723JH,peHI,HENRIK IBSEN,peJH,JACOB HEGEL,1899-07-23,KRISTIANIA,Kri,"'peAuLa, peJLFH'",,,,,,,
2153,B18990730JLu,peHI,HENRIK IBSEN,peJLu,JOHN LUND,1899-07-30,KRISTIANIA,Kri,,,,,,,,
2154,B18990806NatTh,peHI,HENRIK IBSEN,orgNatTh,NATIONALTHEATRET,1899-08-06,KRISTIANIA,Kri,,,,,,,,
2155,B18990825OT,peHI,HENRIK IBSEN,"'peOT, peHeTh'",OLA OG HELGA THOMMESSEN,1899-08-25,KRISTIANIA,Kri,peSuI,,,,,,,
2156,B18990830EGo,peHI,HENRIK IBSEN,peEGo,EDMUND GOSSE,1899-08-30,KRISTIANIA,Kri,peEpps,,,,,,"'Mr. Edmund Gosse,, Victoria Hotel, hersteds.'",
2157,B18990903JBH,peHI,HENRIK IBSEN,peJBH,JENS BRAAGE HALVORSEN,1899-09-03,KRISTIANIA,Kri,peIS,,,,,,,
2158,B18990907CS,peHI,HENRIK IBSEN,peCS,CARL SNOILSKY,1899-09-07,KRISTIANIA,Kri,"'peMP, peESn, peElS'",,,,,,"'Herr greve Carl Snoilsky,, Sturegatan 36,, Stockholm.'",
2159,B18990919ER,peHI,HENRIK IBSEN,peER,EMIL REICH,1899-09-19,KRISTIANIA,Kri,,,,,,,"' Herrn Professor Dr. Emil Reich, II Gerningasse 7, Wien'",
2160,B18990925BBj,peHI,HENRIK IBSEN,peBBj,BJØRN BJØRNSON,1899-09-25,KRISTIANIA,Kri,,,,,,,,
2161,B18991001CLD,peHI,HENRIK IBSEN,peCLD,CHRISTOPHER DUE,1899-10-01,KRISTIANIA,Kri,,,,,,,,
2162,B18991004NN_Arede,peHI,HENRIK IBSEN,peNN,UKJENT MOTTAGER,1899-10-04,KRISTIANIA,Kri,,,,,,,,
2163,B18991007JH,peHI,HENRIK IBSEN,peJH,JACOB OG JULIE HEGEL,1899-10-07,KRISTIANIA,Kri,peSuI,,,,,,,
2164,B18991014DG,peHI,HENRIK IBSEN,peDG,DIDRIK GRØNVOLD,1899-10-14,KRISTIANIA,Kri,"'peJBH, peJaHo'",,,,,,,
2165,B18991108JE,peHI,HENRIK IBSEN,peJE,JULIUS ELIAS,1899-11-08,KRISTIANIA,Kri,,,,,,,,
2166,B18991118JE,peHI,HENRIK IBSEN,peJE,JULIUS ELIAS,1899-11-18,KRISTIANIA,Kri,peALan,,,,,,,
2167,B18991122JH,peHI,HENRIK IBSEN,peJH,JACOB HEGEL,1899-11-22,KRISTIANIA,Kri,"'peAuLa, peJLFH'",,,,,,,
2168,B18991124WA,peHI,HENRIK IBSEN,peWA,WILLIAM ARCHER,1899-11-24,KRISTIANIA,Kri,"'peWHei, peFrAr'",,,,,,,
2169,B18991127JH,peHI,HENRIK IBSEN,peJH,JACOB HEGEL,1899-11-27,KRISTIANIA,Kri,"'peSFi, peJLFH'",,,,,,,
2170,B18991203AuLa,peHI,HENRIK IBSEN,peAuLa,AUGUST LARSEN,1899-12-03,KRISTIANIA,Kri,"'peMP, peEiChr'",,,,,,"'Herr fuldmægtig August Larsen,, Gyldendalske boghandel,, København.'",
2171,B18991209JH,peHI,HENRIK IBSEN,peJH,JACOB HEGEL,1899-12-09,KRISTIANIA,Kri,peSFi,,,,,,,
2172,B18991212HMe,peHI,HENRIK IBSEN,peHMe,HJALMAR MEIDELL,1899-12-12,KRISTIANIA,Kri,,,,,,,"'Herr Hjalmar Meidell,, Welhavensgade 11,, Bergen.'",
2173,B18991213AuLa,peHI,HENRIK IBSEN,peAuLa,AUGUST LARSEN,1899-12-13,KRISTIANIA,Kri,"'peEiChr, peOB, peKL, peViO, peAdF, peMT, peJLi'",,"'orgKT, orgNat'",,,,"'Herr fuldmægtig August Larsen,, Gyldendalske boghandel,, København.'",
2174,B18991215JuI,peHI,HENRIK IBSEN,peJuI,JULIUS IVERSEN,1899-12-15,[KRISTIANIA],Kri,peHHa,,,,,,,
2175,B18991215NN_Dr_Henrik,peHI,HENRIK IBSEN,peNN,UKJENT MOTTAGER,1899-12-15,KRISTIANIA,Kri,,,,,,,,
2176,B18991215WA,peHI,HENRIK IBSEN,peWA,WILLIAM ARCHER,1899-12-15,KRISTIANIA,Kri,peWHei,,,,,,,
2177,B18991216WA,peHI,HENRIK IBSEN,peWA,WILLIAM ARCHER,1899-12-16,KRISTIANIA,Kri,peWHei,,orgGyl,,,,,
2178,B18991224KT,peHI,HENRIK IBSEN,orgKT,DET KONGELIGE THEATER I KØBENHAVN,1899-12-24,KRISTIANIA,Kri,,,,,,,,
2179,B18991230JH,peHI,HENRIK IBSEN,peJH,JACOB HEGEL,1899-12-30,KRISTIANIA,Kri,,,,,,,,
2180,Budat1899RFi,peHI,HENRIK IBSEN,peRFi,ROSA FITINGHOFF,1899-12-30,KRISTIANIA,Kri,,,,,,,,
2181,Budat1899LFi,peHI,HENRIK IBSEN,peLFi,LAURA FITINGHOFF,1899-12,KRISTIANIA,Kri,,,,,,,,
2182,Budat1899-1900LD,peHI,HENRIK IBSEN,peLD,LORENTZ DIETRICHSON,1899-12 - 1900-01,KRISTIANIA,Kri,peJMD,,,,,,,
2183,Budat1899-1900IAa,peHI,HENRIK IBSEN,peIAa,INGEBORG BJØRNSON,1899-12 - 1900-01,KRISTIANIA,Kri,peSuI,,,,,,,
2184,B19000103JE,peHI,HENRIK IBSEN,peJE,JULIUS ELIAS,1900-01-03,KRISTIANIA,Kri,"'peAOs, peALan'",,,,,,,
2185,B19000103MP,peHI,HENRIK IBSEN,peMP,MORITZ PROZOR,1900-01-03,KRISTIANIA,Kri,peMMP,,,,,,,
2186,B19000104NL,peHI,HENRIK IBSEN,peNL,NILS LUND,1900-01-04,KRISTIANIA,Kri,,,,,,,,
2187,B19000104ChrSo,peHI,HENRIK IBSEN,peChrSo,CHRISTIAN SONTUM,1900-01-04,KRISTIANIA,Kri,,,,,,,"'Herr doktor Chr. Sontum,, St. Olafs gade 20, hjørnet af , Kristiania.'",
2188,B19000106PN,peHI,HENRIK IBSEN,"'pePN, peBN'",PETER OG BETTY NANSEN,1900-01-06,KRISTIANIA,Kri,,,,,,,,
2189,B19000108WA,peHI,HENRIK IBSEN,peWA,WILLIAM ARCHER,1900-01-08,KRISTIANIA,Kri,"'peWHei, peJH'",,,,,,,
2190,B19000111AuLa,peHI,HENRIK IBSEN,peAuLa,AUGUST LARSEN,1900-01-11,KRISTIANIA,Kri,"'peAR, peWHei, peWA'",,,,,,,
2191,B19000115JLi,peHI,HENRIK IBSEN,peJLi,JONAS LIE,1900-01-15,KRISTIANIA,Kri,"'peTHL, peElLie'",,,,,,"'Illustrissimo Signore Commendatore Jonas Lie,, Hôtel d’ Europe, San-Remo., Italia.'",
2192,B19000116GLa,peHI,HENRIK IBSEN,peGLa,GUSTAV LÆRUM,1900-01-16,KRISTIANIA,Kri,,,,,,,"'Maleren herr Gustav Lærum,, Kristiania.'",
