Letter_ID,Sender_ID,Sender_Name,Recipient_ID,Recipient_Name,Date,Dispatch_Location,Dispatch_Location_Abbr,GeoName_ID,toponymName,Country,Latitude,Longitude,Recipient_Adress,Recipient_Location,Recipient_Location_Abbr,Recipient_Addr_Latitude,Recipient_Addr_Longitude,Mentioned_Person_ID,Mentioned_Persons,Mentioned_Org_ID,Mentioned_Org,Mentioned_Works_IDs,Mention_Works_Title,Text_ID,Mention_Works_Genre,Collective_Vesions_ID,Mentioned_Places,Mentioned_Places_Abbr
B18750310ESta,peHI,HENRIK IBSEN,peESta,EMIL STANG,1875-03-10,Dresden,Dre,2935022,Dresden,Germany,51.05089,13.73832,,,,,,,,,,woC2,Catilina,C2,drama,C,,
B18750310HLaa,peHI,HENRIK IBSEN,peHLaa,HERMAN LAADING,1875-03-10,Dresden,Dre,2935022,Dresden,Germany,51.05089,13.73832,,,,,,peSuI,SUSANNA/SUZANNAH IBSEN,orgNTB,DET NORSKE THEATER I BERGEN,woC2,Catilina,C2,drama,C,Bergen,Berg
B18750310CHo,peHI,HENRIK IBSEN,peCHo,CHRISTIAN HOLST,1875-03-10,Dresden,Dre,2935022,Dresden,Germany,51.05089,13.73832,,,,,,peKongO2,OSCAR 2. (Oscar Fredrik),,,woC2,Catilina,C2,drama,C,,
B18750310EGo,peHI,HENRIK IBSEN,peEGo,EDMUND GOSSE,1875-03-10,Dresden,Dre,2935022,Dresden,Germany,51.05089,13.73832,,,,,,,,"'orgKT, orgGyl'","DET KONGELIGE THEATER I KØBENHAVN, DEN GYLDENDALSKE BOGHANDEL","woC2, woHH, woF2","Catilina, Hærmændene paa Helgeland, Fru Inger til Østråt","C2, H1, F2","drama, drama, drama","C, HH, F","München, Nordtyskland, Tyrol","Mun, D, Ty"
B18750310EaE,peHI,HENRIK IBSEN,peEaE,ERIK AF EDHOLM,1875-03-10,Dresden,Dre,2935022,Dresden,Germany,51.05089,13.73832,,,,,,,,orgKDTS,KONGL. DRAMATISKA THEATERN,"woC2, woF2","Catilina, Fru Inger til Østråt","C2, F2","drama, drama","C, F",,
B18750310PB,peHI,HENRIK IBSEN,pePB,PETER BLYTT,1875-03-10,Dresden,Dre,2935022,Dresden,Germany,51.05089,13.73832,,,,,,"peJABl, peVBl","JOHANNE ALIDA BLYTT (Blydt), VALBORG BLYTT",,,woC2,Catilina,C2,drama,C,,
B18750310HL,peHI,HENRIK IBSEN,peHL,HARTVIG LASSEN,1875-03-10,Dresden,Dre,2935022,Dresden,Germany,51.05089,13.73832,,,,,,peFH,NIELS FREDERIK VILHELM HEGEL,,,"woHH, woTV","Hærmændene paa Helgeland, «Terje Vigen»","H1, DiTerjeVigen","drama, dikt",HH,"København, München","Kbh, Mun"
B18750316FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1875-03-16,Dresden,Dre,2935022,Dresden,Germany,51.05089,13.73832,,,,,,"pePHey, peIR, peHJJ, peESta, peWaL, peBB","PAUL HEYSE, IMMANUEL RÉE, HANS JACOB JENSEN, EMIL STANG, VALDEMAR LUDVIGSEN, BJØRNSTJERNE MARTINIUS BJØRNSON",,,"[woHH], [woF2], woC2","[Hærmændene paa Helgeland], [Fru Inger til Østråt], Catilina","[H1], [F2], C2","[drama], [drama], drama","HH, F, C","Kristiania, København, Stockholm","Kri, Kbh, Sthlm"
B18750327FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1875-03-27,Dresden,Dre,2935022,Dresden,Germany,51.05089,13.73832,,,,,,peJLo,JAKOB OLAUS LØKKE,,,woC2,Catilina,C2,drama,C,"Norge, Kristiania","N, Kri"
B18750328JHT,peHI,HENRIK IBSEN,peJHT,JOHAN HERMAN THORESEN,1875-03-28,Dresden,Dre,2935022,Dresden,Germany,51.05089,13.73832,,,,,,"peCT, peMTh, peSuI, peSiI","NILS CHRISTIAN TØNSBERG, MARIE SOPHIE THORESEN, SUSANNA/SUZANNAH IBSEN, SIGURD IBSEN",orgChrTh,CHRISTIANIA THEATER,"woC2, woF2","Catilina, Fru Inger til Østråt","C2, F2","drama, drama","C, F",Kristiania,Kri
B18750407AEE,peHI,HENRIK IBSEN,peAEE,ANDREAS EMIL ERICHSEN,1875-04-07,Dresden,Dre,2935022,Dresden,Germany,51.05089,13.73832,,,,,,"peFH, peTB","NIELS FREDERIK VILHELM HEGEL, THORVALD OLAF BOECK",,,woKE,Kongs-Emnerne,KE,drama,,København,Kbh
B18750502GB,peHI,HENRIK IBSEN,peGB,GEORG BRANDES,1875-05-02,München,Mun,2867714,Munich,Germany,48.13743,11.57549,,,,,,"pePHey, peAS","PAUL HEYSE, ADOLPH HEINRICH ADOLF STRODTMANN",,,,,,,,"München, København","Mun, Kbh"
B18750503FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1875-05-03,München,Mun,2867714,Munich,Germany,48.13743,11.57549,,,,,,,,orgKT,DET KONGELIGE THEATER I KØBENHAVN,woHH,Hærmændene paa Helgeland,H1,drama,HH,København,Kbh
